(('slide_None'	 'slide_None')	 'camera_None'),1
(('look_down_beats'	 'slide_None')	 'camera_beats'),1
(('look_down_None'	 'camera_beats')	 'camera_deictic'),1
(('look_down_None'	 'look_away_slide_None')	 'camera_None'),1
(('look_down_None'	 'slide_beats')	 'camera_None'),1
(('other_beats'	 'camera_beats')	 'camera_beats'),1
(('other_beats'	 'look_away_slide_metaphoric')	 'look_down_metaphoric'),1
(('other_beats'	 'other_None')	 'look_away_slide_None'),1
(('other_metaphoric'	 'camera_beats')	 'look_away_slide_metaphoric'),1
(('other_metaphoric'	 'camera_metaphoric')	 'camera_None'),1
(('other_metaphoric'	 'camera_None')	 'look_away_slide_None'),1
(('other_metaphoric'	 'slide_metaphoric')	 'camera_metaphoric'),1
(('other_metaphoric'	 'other_None')	 'look_away_slide_None'),1
(('other_deictic'	 'camera_beats')	 'camera_beats'),1
(('other_deictic'	 'slide_None')	 'camera_None'),1
(('other_deictic'	 'other_None')	 'other_None'),1
(('other_iconic'	 'camera_metaphoric')	 'camera_None'),1
(('other_None'	 'camera_beats')	 'slide_beats'),1
(('other_None'	 'camera_beats')	 'other_None'),1
(('other_None'	 'look_away_slide_beats')	 'camera_metaphoric'),1
(('other_None'	 'look_away_slide_beats')	 'camera_None'),1
(('other_None'	 'look_away_slide_beats')	 'look_away_slide_None'),1
(('other_None'	 'look_away_slide_beats')	 'other_None'),1
(('other_None'	 'look_away_slide_None')	 'camera_beats'),1
(('other_None'	 'look_away_slide_None')	 'camera_metaphoric'),1
(('other_None'	 'look_away_slide_None')	 'camera_None'),1
(('other_None'	 'look_away_slide_None')	 'other_deictic'),1
(('other_None'	 'look_away_slide_None')	 'other_None'),1
(('other_None'	 'slide_None')	 'camera_beats'),1
(('other_None'	 'other_metaphoric')	 'camera_None'),1
(('other_None'	 'other_None')	 'look_away_slide_beats'),1
(('other_None'	 'other_None')	 'slide_beats'),1
(('other_None'	 'other_None')	 'slide_None'),1
(('camera_beats'	 'camera_beats')	 'camera_metaphoric'),0
(('camera_beats'	 'camera_beats')	 'camera_deictic'),0
(('camera_beats'	 'camera_beats')	 'camera_iconic'),0
(('camera_beats'	 'camera_beats')	 'camera_None'),0
(('camera_beats'	 'camera_beats')	 'look_away_slide_metaphoric'),0
(('camera_beats'	 'camera_beats')	 'look_away_slide_deictic'),0
(('camera_beats'	 'camera_beats')	 'look_away_slide_iconic'),0
(('camera_beats'	 'camera_beats')	 'slide_beats'),0
(('camera_beats'	 'camera_beats')	 'slide_metaphoric'),0
(('camera_beats'	 'camera_beats')	 'slide_iconic'),0
(('camera_beats'	 'camera_beats')	 'slide_None'),0
(('camera_beats'	 'camera_beats')	 'look_down_beats'),0
(('camera_beats'	 'camera_beats')	 'look_down_metaphoric'),0
(('camera_beats'	 'camera_beats')	 'look_down_deictic'),0
(('camera_beats'	 'camera_beats')	 'look_down_iconic'),0
(('camera_beats'	 'camera_beats')	 'look_down_None'),0
(('camera_beats'	 'camera_beats')	 'other_beats'),0
(('camera_beats'	 'camera_beats')	 'other_metaphoric'),0
(('camera_beats'	 'camera_beats')	 'other_deictic'),0
(('camera_beats'	 'camera_beats')	 'other_iconic'),0
(('camera_beats'	 'camera_beats')	 'other_None'),0
(('camera_beats'	 'camera_metaphoric')	 'camera_beats'),0
(('camera_beats'	 'camera_metaphoric')	 'camera_metaphoric'),0
(('camera_beats'	 'camera_metaphoric')	 'camera_deictic'),0
(('camera_beats'	 'camera_metaphoric')	 'camera_iconic'),0
(('camera_beats'	 'camera_metaphoric')	 'look_away_slide_beats'),0
